ts,door_id,mount_pos,sample_hz,ax,ay,az,gx,gy,gz,a_mag,w_mag,label
1761680297.097175,doorA,pos1,100,-0.293213,-0.937012,0.115234,-3.031,-1.489,-1.237,0.988556,3.595720,open
1761680297.107175,doorA,pos1,100,-0.291016,-0.939941,0.117920,-3.008,-1.481,-0.947,0.991002,3.483527,open
1761680297.117175,doorA,pos1,100,-0.291260,-0.935303,0.122803,-3.130,-1.496,-0.977,0.987271,3.603991,open
1761680297.127167,doorA,pos1,100,-0.294434,-0.942627,0.107178,-3.031,-1.534,-1.290,0.993340,3.633548,open
1761680297.137176,doorA,pos1,100,-0.309814,-0.922607,0.111816,-3.015,-1.481,-1.122,0.979639,3.541771,open
1761680297.147179,doorA,pos1,100,-0.293213,-0.936279,0.118408,-2.969,-1.527,-1.115,0.988237,3.520044,open
1761680297.157175,doorA,pos1,100,-0.298584,-0.922119,0.115479,-2.901,-1.481,-0.863,0.976110,3.369215,open
1761680297.167175,doorA,pos1,100,-0.288574,-0.940674,0.114990,-3.023,-1.527,-1.130,0.990639,3.570039,open
1761680297.177176,doorA,pos1,100,-0.294678,-0.935547,0.113525,-2.939,-1.611,-0.863,0.987406,3.460593,open
1761680297.187175,doorA,pos1,100,-0.297363,-0.938965,0.116943,-2.985,-1.519,-1.397,0.991845,3.628733,open
1761680297.197175,doorA,pos1,100,-0.291992,-0.938721,0.117676,-3.115,-1.634,-0.916,0.990103,3.634261,open
1761680297.207181,doorA,pos1,100,-0.300537,-0.938721,0.116943,-3.046,-1.573,-1.435,0.992570,3.716084,open
1761680297.217179,doorA,pos1,100,-0.298096,-0.939453,0.116455,-3.038,-1.573,-1.031,0.992469,3.572853,open
1761680297.227177,doorA,pos1,100,-0.298584,-0.934082,0.109619,-3.099,-1.542,-1.344,0.986751,3.713221,open
1761680297.237177,doorA,pos1,100,-0.301270,-0.934082,0.104004,-3.069,-1.305,-0.985,0.986960,3.477147,open
1761680297.247176,doorA,pos1,100,-0.293457,-0.938721,0.111572,-3.031,-1.519,-1.366,0.989829,3.654974,open
1761680297.257177,doorA,pos1,100,-0.293457,-0.936279,0.113770,-2.985,-1.389,-0.977,0.987765,3.434173,open
1761680297.267176,doorA,pos1,100,-0.290527,-0.939697,0.113281,-2.939,-1.435,-1.305,0.990086,3.521476,open
1761680297.277175,doorA,pos1,100,-0.290283,-0.937500,0.116699,-3.061,-1.504,-0.870,0.988327,3.519788,open
1761680297.287176,doorA,pos1,100,-0.291260,-0.937256,0.126221,-3.168,-1.397,-1.221,0.989552,3.671383,open
1761680297.297177,doorA,pos1,100,-0.290039,-0.939697,0.116211,-3.092,-1.496,-1.183,0.990282,3.632706,open
1761680297.307176,doorA,pos1,100,-0.312500,-0.952637,0.113281,-3.229,-1.565,-1.137,1.008963,3.764179,open
1761680297.317174,doorA,pos1,100,-0.289062,-0.949951,0.115234,-3.061,-1.496,-1.366,0.999622,3.670938,open
1761680297.327175,doorA,pos1,100,-0.293213,-0.935791,0.117432,-2.992,-1.450,-1.115,0.987658,3.507133,open
1761680297.337176,doorA,pos1,100,-0.284424,-0.937012,0.118408,-3.023,-1.496,-1.450,0.986361,3.671526,open
1761680297.347177,doorA,pos1,100,-0.299805,-0.939453,0.107422,-3.023,-1.481,-0.840,0.991965,3.469312,open
1761680297.357179,doorA,pos1,100,-0.293945,-0.935303,0.111816,-3.084,-1.573,-1.435,0.986761,3.747431,open
1761680297.367178,doorA,pos1,100,-0.295410,-0.940186,0.116699,-3.076,-1.626,-0.756,0.992388,3.560715,open
1761680297.377178,doorA,pos1,100,-0.288330,-0.935791,0.094482,-3.069,-1.244,-1.435,0.983751,3.608976,open
1761680297.387175,doorA,pos1,100,-0.291504,-0.939697,0.117432,-3.229,-1.458,-0.977,0.990856,3.675190,open
